Method,ACE,Diff_vs_Generic,Diff_pct,MSE,Rank
Copula Generic ✓,-0.0012690431734692512,0,0,0,1
Copula Empirical,0,0.0012690431734692512,100,1.610470576128908e-6,2
BART (C1),5.582304075944623e-4,0.0018272735810637136,143.9882912784124,3.338928740053408e-6,3
CF (C1),0.001226558287264907,0.0024956014607341584,196.65221112310934,6.228026650818465e-6,4
OLS Unadjusted,0.0018917247541323592,0.00316076792760161,249.0670131387926,9.990453892154979e-6,5
OLS + C1,0.0025774743849126796,0.003846517558381931,303.1037587055844,1.479569732694049e-5,6
DML (C1),0.0027036174168510074,0.003972660590320259,313.043769776562,1.5782032165883708e-5,7
Copula Gaussian,0.002854757059769073,0.004123800233238324,324.95350193365533,1.7005728363656454e-5,8
OLS + C1 + C2,0.004499570028430866,0.005768613201900117,454.56398351918557,3.327689827313632e-5,9
