x,mu_interventional,mu_observational,ace_interventional,d_obs_dx,mu_gaussian,ace_gaussian,ace_standardized
31.545211466016777,1.6731709120086184,6.156305153811396,0.003527669492517703,NA,5.5,0,0.045085235332121464
32.713396008118764,1.6772918809794224,6.168521261929422,0.003136671396285161,NA,5.5,0,0.0400881001922095
33.88158055022075,1.680499334086206,6.178239015319283,0.0035044201027949738,NA,5.5,0,0.044788097459880105
35.04976509232274,1.6854794997656555,6.193670053846822,0.0038502329904692694,NA,5.5,0.5996675827077732,0.04920774489418347
36.21794963442472,1.6894948994121206,6.206395363035838,0.003037316081407952,NA,5.5,0.52414664119853,0.038818293663497816
37.38613417652671,1.6925757911572126,6.216318287169544,0.0029344346069990284,NA,5.5,0.4765611552955606,0.03750342119744616
38.55431871862869,1.6963508217075314,6.228651290954246,0.0030089536865152413,NA,5.5,0.4281457033768825,0.03845580923828944
39.722503260730676,1.6996058175261883,6.23942738577642,0.0029026920922599515,NA,5.5,0.39362219214356925,0.03709773728910949
40.890687802832666,1.7031325817728509,6.251237733977856,0.0031310757320326143,NA,5.6,0.36244991567544543,0.04001658503462438
42.05887234493465,1.7069211660668107,6.264063695124465,0.003385818133352795,NA,5.6,0.33498992838765135,0.043272309851518476
43.22705688703664,1.7110431025843535,6.278158609657623,0.003037791779446861,NA,5.6,0.3110123889714186,0.03882437330278282
44.39524142913862,1.7140185688645593,6.288409205095593,0.002583420014468387,NA,5.6,0.2969481776789181,0.033017293587470443
45.563425971240605,1.7170789252376712,6.29900591109919,0.0026029670292763056,NA,5.6,0.28495019206205313,0.03326711340889212
46.731610513342595,1.7201000605589627,6.309508217330218,0.0028198366149420205,NA,5.6,0.02821919981974012,0.036038806257912434
47.89979505544458,1.7236671043273282,6.321944098884884,0.0030951358994040896,NA,5.6,0,0.039557257477070895
49.06797959754657,1.7273314403857403,6.334738008551021,0.0027855144626120682,NA,5.6,0,0.03560015339709796
50.23616413964855,1.730175094201378,6.344664108559326,0.0023990310719945486,NA,5.6,0,0.03066071826721819
51.404348681750534,1.732936462414393,6.354288357972169,0.0024256929159271793,NA,5.6,0,0.031001468870595444
52.572533223852524,1.735842408137923,6.364388047566275,0.002295736488810832,NA,5.6,0,0.029340566081405707
53.74071776595451,1.7383001501723296,6.372896929865926,0.0023603298227508926,NA,5.6,0,0.03016609853781944
54.9089023080565,1.7413570097643227,6.38342348748157,0.0026484929451463064,NA,5.6,0,0.03384895551033129
56.07708685015848,1.7444880072091018,6.394122830125062,0.0030659828855205177,NA,5.6,0,0.03918466857826128
57.24527139226046,1.7485202773907513,6.407746495159129,0.0031010191987525283,NA,5.6,0,0.03963244874320744
58.41345593436245,1.7517331325945902,6.41844826594265,0.00257878195406837,NA,5.6,0,0.03295801704666556
59.58164047646444,1.7545452638231398,6.427682814961586,0.002375378926318886,NA,5.6,0,0.030358432989031365
60.749825018566426,1.7572828944813113,6.436536874769165,0.0024076446123649253,NA,5.6,0,0.030770803266809234
61.91800956066841,1.7601704102612195,6.445712078545297,0.0027353845528214913,NA,5.6,0,0.03495947014009785
63.08619410277039,1.7636737623839325,6.456589878222302,0.002757255685572394,NA,5.6,0,0.03523899325561249
64.25437864487238,1.7666123772022364,6.4654732208245065,0.00234625333643165,NA,5.6,0,0.029986194581482675
65.42256318697437,1.7691554761428818,6.472964187353957,0.0024625971131777124,NA,5.6,0,0.03147312145066633
66.59074772907636,1.7723659129643148,6.482134266456607,0.0028377041232996785,NA,5.6,0,0.03626716121599801
67.75893227117834,1.7757854003266773,6.491514545720975,0.002872103737090201,NA,5.6,0,0.03670680406983376
68.92711681328032,1.779076207342279,6.500126123941599,0.002796460584250904,NA,5.6,0,0.03574004985596625
70.0953013553823,1.782318964380916,6.508173815508897,0.002950112196532521,NA,5.6,0,0.037703787987775336
71.2634858974843,1.7859687582731907,6.51666116614296,0.0029269960633813734,NA,5.6,0,0.03740835319568422
72.43167043958628,1.789157507492987,6.523536495080102,0.002634596796513582,NA,5.6,0,0.03367135635240412
73.59985498168827,1.7921241487779078,6.529442019873695,0.0027662055484666526,NA,5.6,0,0.03535337661143245
74.76803952379025,1.795620384616978,6.535744656343651,0.003070504583694838,NA,5.6,0,0.039242457956410924
75.93622406589223,1.799297980760159,6.541542942520332,0.002972836853251353,NA,5.6,0,0.03799421953137183
77.10440860799423,1.8025660287332967,6.545920665719162,0.0027975442709225573,NA,5.6,0,0.03575389986904753
